#t x y z vx vy vz
5.00 -59.16 223.01 -30.83 183.14 123.04 85.72
5.07 -45.23 231.59 -23.99 206.15 120.56 106.51
5.14 -29.89 240.09 -15.14 230.49 113.39 144.49
5.21 -12.61 247.32 -2.69 255.37 86.46 213.28
5.29 5.12 250.54 15.12 232.30 -6.16 277.19
5.36 19.69 247.16 34.43 179.59 -81.36 260.13
5.43 31.07 240.28 51.53 141.98 -112.72 221.11
5.50 40.40 231.67 65.88 117.67 -131.76 184.17
5.57 47.96 222.04 77.88 94.11 -142.62 156.86
5.64 54.17 211.76 87.94 77.51 -149.66 128.61
5.71 59.28 200.68 96.29 62.87 -158.00 104.58
5.79 63.48 189.45 103.01 50.53 -162.12 81.83
5.86 66.66 177.92 107.82 33.85 -167.48 58.09
5.93 68.39 165.89 110.98 20.23 -167.59 36.61
6.00 69.73 154.02 112.76 6.91 -168.63 11.73
6.07 70.00 142.36 112.94 -3.96 -166.25 -11.20
6.14 69.25 130.72 111.11 -18.60 -160.97 -36.50
6.21 67.62 119.33 107.54 -31.98 -155.33 -65.99
6.29 65.23 108.71 102.42 -46.99 -142.30 -98.42
6.36 61.19 99.24 94.05 -63.86 -125.72 -129.67
6.43 56.79 90.92 84.34 -76.63 -102.70 -162.57
6.50 50.99 84.52 71.82 -89.36 -71.85 -197.76
6.57 44.15 81.07 56.79 -102.19 -26.05 -228.54
6.64 37.19 81.30 40.24 -107.49 34.42 -254.49
6.71 29.82 86.20 22.69 -99.62 115.41 -253.84
6.79 23.75 96.38 6.39 -75.72 186.32 -218.09
6.86 19.76 110.27 -6.29 -38.86 224.78 -151.59
6.93 17.86 125.77 -14.98 -7.38 231.17 -89.60
7.00 18.68 140.61 -18.45 20.65 215.92 -37.45
7.07 20.15 154.65 -20.28 39.59 194.56 4.33
7.14 23.43 167.04 -18.93 55.21 171.91 36.31
7.21 27.56 178.03 -15.68 66.24 145.21 62.21
7.29 32.54 187.01 -10.61 77.08 119.54 86.02
7.36 37.96 194.17 -4.41 85.66 90.89 104.10
7.43 44.05 199.29 3.07 93.04 64.20 121.16
7.50 50.22 202.46 11.39 98.82 32.30 134.46
7.57 57.27 203.93 20.72 103.07 2.54 144.58
7.64 63.92 203.01 30.02 102.92 -30.03 153.53
7.71 71.32 198.80 40.96 102.10 -64.66 161.59
7.79 77.79 194.29 50.77 104.61 -101.49 162.86
7.86 84.48 186.88 61.15 101.94 -140.17 161.73
7.93 91.65 176.07 71.42 95.75 -186.08 156.96
8.00 97.64 163.18 81.37 89.48 -231.24 143.11
8.07 103.65 146.19 90.28 72.58 -283.71 115.62
8.14 107.32 126.75 96.02 44.92 -328.01 68.07
8.21 109.61 105.58 98.23 9.47 -352.94 -5.28
8.29 109.33 83.84 95.86 -36.85 -327.80 -89.14
8.36 106.09 63.95 88.30 -72.76 -262.17 -149.18
8.43 101.62 50.38 78.53 -82.67 -185.65 -178.54
8.50 96.61 40.17 67.63 -82.44 -114.04 -182.20
8.57 91.96 34.89 57.33 -73.40 -50.93 -175.09
8.64 87.63 33.09 47.55 -63.91 -4.71 -159.56
8.71 83.84 33.65 39.33 -45.42 37.08 -133.56
8.79 81.14 37.06 33.04 -15.56 70.32 -106.91
8.86 79.75 42.02 28.39 2.74 93.43 -80.22
8.93 79.26 48.35 25.93 19.24 114.00 -44.99
9.00 79.76 54.23 25.06 22.91 131.41 -0.02
9.07 83.07 63.80 28.52 66.57 138.37 25.18
9.14 85.80 70.68 31.97 65.91 142.62 80.79
9.21 91.06 79.00 39.43 88.73 139.60 126.15
9.29 97.43 86.14 48.45 117.50 127.45 174.80
9.36 105.34 91.86 60.37 149.77 96.92 229.57
9.43 115.21 96.48 75.66 179.86 37.52 281.35
9.50 127.19 95.29 93.49 208.67 -56.05 310.17
9.57 139.90 88.45 111.41 204.70 -173.45 287.37
9.64 151.09 74.96 126.19 164.15 -246.49 205.68
9.71 159.89 59.86 136.43 117.25 -258.59 124.63
9.79 165.59 44.42 141.40 72.22 -239.73 60.37
9.86 168.86 30.69 143.06 27.42 -199.04 23.51
9.93 171.39 18.94 143.58 4.06 -162.63 -16.68
10.00 171.43 10.69 140.82 -9.69 -111.20 -62.30
10.07 170.31 4.26 136.51 -23.28 -67.54 -88.06
10.14 168.54 -0.69 131.85 -40.34 -28.82 -100.28
10.21 166.10 -2.85 126.14 -45.93 8.77 -116.80
10.29 162.60 -0.61 119.71 -53.85 60.42 -126.84
10.36 159.10 3.24 113.91 -82.71 119.69 -125.03
10.43 155.05 11.48 108.07 -82.28 194.84 -103.80
10.50 152.12 23.34 104.74 -59.86 274.94 -50.45
10.57 150.87 38.61 105.22 -1.31 317.89 43.46
10.64 152.91 53.56 110.01 68.06 273.64 135.74
10.71 158.05 65.72 118.53 110.67 190.22 179.82
10.79 165.21 72.66 128.90 106.10 91.86 196.79
10.86 173.31 76.60 139.39 115.69 16.06 186.02
10.93 181.10 74.83 148.54 113.38 -88.03 152.69
11.00 188.28 72.26 156.14 97.87 -144.28 120.04
11.07 195.14 67.13 163.44 89.03 -167.00 70.20
11.14 200.63 59.38 168.08 78.67 -187.92 45.59
11.21 205.16 48.88 171.17 36.22 -210.65 -4.28
11.29 207.73 38.79 171.60 51.67 -229.59 -17.64
11.36 208.79 27.83 169.67 30.73 -245.95 -37.77
11.43 207.62 15.58 165.07 -71.71 -213.88 -124.77
