#t x y z vx vy vz
2.36 -26.10 45.86 -23.16 -24.90 44.48 -19.26
2.43 -27.69 49.09 -24.49 -24.01 44.16 -19.48
2.50 -29.32 52.27 -25.88 -24.40 49.59 -20.19
2.57 -31.03 55.91 -27.36 -25.11 54.32 -21.94
2.64 -32.84 59.66 -28.78 -26.26 53.60 -19.37
2.71 -34.83 63.57 -30.28 -26.89 55.19 -22.13
2.79 -36.91 67.76 -31.90 -28.27 58.22 -24.09
2.86 -39.05 72.14 -33.62 -31.50 63.57 -23.87
2.93 -41.22 76.89 -35.40 -30.66 66.45 -27.93
3.00 -43.31 81.92 -37.42 -30.58 73.14 -28.38
3.07 -45.43 87.39 -39.44 -32.91 80.38 -28.07
3.14 -47.74 93.16 -41.50 -34.03 82.39 -30.31
3.21 -50.11 99.24 -43.67 -36.41 84.37 -30.28
3.29 -52.92 105.55 -45.75 -39.88 90.75 -30.50
3.36 -55.73 112.45 -47.93 -43.00 98.07 -31.60
3.43 -58.75 119.98 -50.13 -42.75 111.13 -30.48
3.50 -61.73 128.30 -52.28 -40.28 120.67 -30.21
3.57 -64.77 137.33 -54.38 -42.58 132.92 -28.11
3.64 -67.91 147.38 -56.33 -43.72 149.24 -27.66
3.71 -70.98 158.77 -58.09 -43.43 171.41 -21.10
3.79 -74.08 171.75 -59.26 -43.78 191.88 -10.85
3.86 -77.09 186.70 -59.40 -36.43 227.73 10.36
3.93 -78.65 204.37 -57.23 -5.56 264.62 57.18
4.00 -76.84 223.06 -50.35 57.23 245.65 129.51
4.07 -71.40 238.33 -40.10 91.50 183.05 148.32
4.14 -64.99 249.22 -30.14 84.25 125.89 128.73
4.21 -59.08 256.90 -21.89 74.54 90.03 103.37
4.29 -53.87 262.41 -15.17 67.38 65.73 86.02
4.36 -49.17 266.28 -9.71 62.89 44.94 70.88
4.43 -44.65 268.76 -5.03 61.55 26.05 62.83
4.50 -40.43 270.03 -0.94 58.34 8.51 52.73
4.57 -36.39 270.16 2.72 53.23 -6.06 49.84
4.64 -32.52 269.32 6.12 51.78 -17.48 43.30
4.71 -28.94 267.76 9.08 52.00 -28.70 37.64
4.79 -25.41 265.36 11.66 50.85 -40.07 32.72
4.86 -21.88 262.04 13.98 49.62 -51.18 29.92
4.93 -18.54 258.13 16.06 44.81 -60.43 25.89
5.00 -15.49 253.48 17.78 42.84 -70.80 21.36
5.07 -12.64 248.04 19.06 36.86 -80.06 14.58
5.14 -9.85 242.07 19.89 36.77 -88.52 5.14
5.21 -7.42 235.46 19.92 29.77 -92.80 -6.13
5.29 -5.13 228.90 18.95 32.24 -89.49 -19.84
5.36 -2.72 222.33 17.41 36.81 -89.53 -23.55
5.43 -0.20 215.48 15.86 37.22 -98.97 -21.10
5.50 2.30 207.86 14.39 35.70 -113.11 -18.38
5.57 4.71 199.23 13.10 32.29 -129.94 -15.77
5.64 6.72 189.09 11.69 24.19 -151.51 -20.35
5.71 7.99 177.41 9.81 10.92 -174.90 -32.40
5.79 8.14 163.17 6.93 -11.86 -222.75 -49.68
5.86 4.23 144.63 1.57 -171.73 -232.90 -87.63
5.93 -4.42 135.22 -0.76 -81.18 -73.05 -13.89
6.00 -6.93 132.12 -0.12 24.73 -35.46 24.12
6.07 -5.00 131.68 2.06 78.94 -0.05 48.36
6.14 0.17 133.57 5.15 125.47 42.32 72.76
6.21 8.26 138.27 9.62 192.51 137.16 118.50
6.29 15.01 142.70 15.61 26.65 -56.81 -1.76
6.36 18.47 140.29 18.29 41.26 -47.96 22.56
6.43 21.92 137.88 20.74 40.67 -25.71 16.70
6.50 25.66 136.29 23.60 39.62 -19.28 19.19
6.57 29.71 134.22 25.94 40.36 -30.33 20.78
6.64 33.32 132.22 27.78 38.99 -22.50 34.00
6.71 37.11 130.01 30.51 37.71 -25.70 34.18
6.79 40.33 127.65 32.92 43.20 -27.72 40.62
6.86 43.37 125.37 35.22 40.77 -31.08 28.89
6.93 46.30 122.78 37.15 42.15 -31.15 24.00
7.00 49.23 120.60 38.93 37.44 -28.76 22.43
7.07 52.32 118.99 40.54 38.03 -23.26 30.21
7.14 55.09 117.34 42.33 33.03 -21.41 20.91
7.21 57.58 115.67 43.63 36.54 -24.73 22.19
7.29 60.23 114.02 45.28 32.38 -27.26 21.49
7.36 62.76 112.06 46.97 30.50 -26.10 22.80
7.43 65.24 110.37 48.89 30.33 -24.02 26.96
7.50 67.52 108.65 50.70 29.55 -25.27 24.57
7.57 69.57 106.60 52.51 28.09 -27.90 23.51
7.64 71.50 104.57 54.07 30.73 -25.53 30.23
7.71 73.67 102.93 55.83 28.07 -21.82 25.61
7.79 75.38 101.24 57.10 28.61 -21.00 18.80
7.86 77.23 100.23 58.16 30.21 -16.81 18.87
7.93 79.45 99.18 59.26 32.91 -20.19 18.27
8.00 81.76 97.89 60.60 36.39 -16.90 21.73
8.07 84.29 96.98 62.21 37.31 -17.41 23.04
8.14 86.84 95.94 63.66 37.93 -19.81 22.97
8.21 89.54 94.63 65.72 37.79 -17.13 29.73
8.29 92.52 93.46 68.19 40.84 -16.97 35.17
8.36 95.22 91.97 70.57 40.24 -23.51 38.86
8.43 98.08 90.47 73.08 37.75 -23.05 37.09
8.50 100.56 88.88 75.16 34.54 -25.24 32.64
8.57 103.13 87.11 77.36 32.52 -25.12 26.25
8.64 105.54 85.38 79.25 32.59 -25.60 26.95
8.71 108.10 83.62 81.04 31.53 -25.71 20.15
8.79 110.20 81.60 82.68 26.89 -27.71 14.61
8.86 112.36 79.62 84.20 33.07 -26.02 18.94
8.93 114.67 77.83 85.79 32.90 -26.01 21.93
9.00 117.03 76.00 87.38 31.03 -24.35 20.39
9.07 119.04 74.07 88.73 29.24 -24.42 20.16
9.14 121.18 72.31 90.20 30.65 -27.84 19.30
9.21 123.13 70.44 91.60 31.75 -25.52 22.08
9.29 125.20 68.67 92.96 31.83 -25.95 21.44
9.36 127.35 66.87 94.30 28.92 -25.94 18.04
9.43 129.35 64.88 95.59 27.58 -29.45 20.69
9.50 131.38 63.37 97.39 25.42 -22.39 24.15
9.57 133.32 61.99 99.00 27.19 -17.43 27.17
9.64 135.28 60.80 100.80 29.29 -13.69 24.80
9.71 137.21 59.60 102.53 29.07 -14.81 22.14
9.79 139.65 58.54 104.52 31.98 -18.21 24.98
9.86 142.19 57.51 106.53 36.11 -16.44 25.98
9.93 144.65 56.21 108.44 36.88 -17.59 30.18
10.00 147.22 54.90 110.61 38.23 -19.97 31.76
10.07 149.67 53.39 112.76 36.03 -21.94 31.68
10.14 152.04 51.92 115.01 31.31 -19.90 34.94
10.21 154.34 50.64 117.48 33.25 -17.84 32.50
10.29 156.42 49.16 119.64 33.40 -18.51 32.09
10.36 158.48 47.69 121.54 34.14 -16.86 29.94
10.43 160.56 46.05 123.26 34.08 -19.37 24.34
10.50 162.71 44.48 124.85 29.70 -26.33 20.37
10.57 165.00 42.56 125.97 32.68 -31.35 18.11
10.64 167.01 40.52 127.22 30.98 -31.03 17.14
10.71 169.16 38.71 128.18 29.38 -29.78 17.67
10.79 171.16 36.77 129.56 25.54 -23.41 18.38
10.86 173.13 35.43 131.24 26.31 -20.19 18.44
10.93 175.18 33.98 133.09 30.86 -17.11 24.18
11.00 177.51 32.60 135.03 32.19 -16.92 27.26
11.07 179.83 31.30 137.29 30.60 -20.36 26.88
11.14 181.99 29.69 139.07 29.80 -21.87 28.91
11.21 184.15 27.89 140.98 29.88 -22.41 28.88
11.29 186.21 26.31 142.64 29.42 -18.12 28.59
11.36 188.46 24.79 144.64 29.60 -22.49 27.93
11.43 190.71 23.66 146.59 31.50 -18.97 26.70
